unit_id,station_code,station_name,station_desc,esc_desc,unit_type
"F01N13ESCALATOR","F01","GALLERY PLACE-CHINATOWN","7th and H Street/Chinatown Entrance","Escalator between upper platform to Glenmont and the lower platform for Yellow/Green Line","ESCALATOR"
"F01N14ESCALATOR","F01","GALLERY PLACE-CHINATOWN","7th and H Street/Chinatown Entrance","Escalator between upper platform to Glenmont and the lower platform for Yellow/Green Line","ESCALATOR"
"F01N15ESCALATOR","F01","GALLERY PLACE-CHINATOWN","7th and H Street/Chinatown Entrance","Escalator between upper platform to Glenmont and the lower platform for Yellow/Green Line","ESCALATOR"
"F01N16ESCALATOR","F01","GALLERY PLACE-CHINATOWN","7th and H Street/Chinatown Entrance","Escalator between upper platform to Glenmont and the lower platform for Yellow/Green Line","ESCALATOR"
"B01W04ESCALATOR","B01","GALLERY PLACE-CHINATOWN","9th and G Street Entrance","Escalator between mezzanine and platform to Shady Grove","ESCALATOR"
"B01W06ESCALATOR","B01","GALLERY PLACE-CHINATOWN","9th and G Street Entrance","Escalator between mezzanine and platform to Glenmont","ESCALATOR"
"E05X07ESCALATOR","E05","GEORGIA AVENUE-PETWORTH","","Escalator between mezzanine and platform","ESCALATOR"
"B11X03ESCALATOR","B11","GLENMONT","","Escalator between street and mezzanine, east side of station at bus bay/Kiss & Ride","ESCALATOR"
"B11X06ESCALATOR","B11","GLENMONT","","Escalator between mezzanine and platform","ESCALATOR"
"B11X07ESCALATOR","B11","GLENMONT","","Escalator between mezzanine and platform","ESCALATOR"
"A11X03ESCALATOR","A11","GROSVENOR-STRATHMORE","","Escalator between mezzanine and platform","ESCALATOR"
"C15N06ESCALATOR","C15","HUNTINGTON","Huntington Ave. Entrance","Escalator between mezzanine and platform","ESCALATOR"
"B02S04ESCALATOR","B02","JUDICIARY SQUARE","4th St/Courthouse Entrance","Escalator between mezzanine and platform to Shady Grove","ESCALATOR"
"B02S05ESCALATOR","B02","JUDICIARY SQUARE","4th St/Courthouse Entrance","Escalator between mezzanine and platform to Glenmont","ESCALATOR"
"B02S06ESCALATOR","B02","JUDICIARY SQUARE","4th St/Courthouse Entrance","Escalator between mezzanine and platform to Shady Grove","ESCALATOR"
"B02N05ESCALATOR","B02","JUDICIARY SQUARE","Building Museum Entrance","Escalator between mezzanine and platform to Glenmont","ESCALATOR"
"B02N07ESCALATOR","B02","JUDICIARY SQUARE","Building Museum Entrance","Escalator between mezzanine and platform to Glenmont","ESCALATOR"
"D03E01ESCALATOR","D03","L'ENFANT PLAZA","7th & D St (USDOT Entrance)","Escalator between street and mezzanine","ESCALATOR"
"D03E02ESCALATOR","D03","L'ENFANT PLAZA","7th & D St (USDOT Entrance)","Escalator between street and mezzanine","ESCALATOR"
"D03E04ESCALATOR","D03","L'ENFANT PLAZA","7th & D St (USDOT Entrance)","Escalator between mezzanine and platform to Blue/Orange Line (escalator closer to station entrance)","ESCALATOR"
"D03E05ESCALATOR","D03","L'ENFANT PLAZA","7th & D St (USDOT Entrance)","Escalator between mezzanine and platform to Blue/Orange Line (escalator closer to station entrance)","ESCALATOR"
"D03E06ESCALATOR","D03","L'ENFANT PLAZA","7th & D St (USDOT Entrance)","Escalator between mezzanine and platform to Blue/Orange Line (escalator closer to station entrance)","ESCALATOR"
"D03E08ESCALATOR","D03","L'ENFANT PLAZA","7th & D St (USDOT Entrance)","Escalator between mezzanine and platform to Blue/Orange Line (escalator closer to Yellow/Green platform)","ESCALATOR"
"D03E09ESCALATOR","D03","L'ENFANT PLAZA","7th & D St (USDOT Entrance)","Escalator between mezzanine and platform to Blue/Orange Line (escalator closer to Yellow/Green platform)","ESCALATOR"
"F03N05ESCALATOR","F03","L'ENFANT PLAZA","7th St/Maryland Ave./Smithsonian Museums Entrance/VRE trains","Escalator between mezzanine and platform to Greenbelt/Mr. Vernon Sq","ESCALATOR"
"F03N06ESCALATOR","F03","L'ENFANT PLAZA","7th St/Maryland Ave./Smithsonian Museums Entrance/VRE trains","Escalator between mezzanine and platform to Greenbelt/Mr. Vernon Sq","ESCALATOR"
"F03N07ESCALATOR","F03","L'ENFANT PLAZA","7th St/Maryland Ave./Smithsonian Museums Entrance/VRE trains","Escalator between mezzanine and platform to Branch Ave/Huntington","ESCALATOR"
"F03N10ESCALATOR","F03","L'ENFANT PLAZA","7th St/Maryland Ave./Smithsonian Museums Entrance/VRE trains","Escalator between mezzanine and end of platform to Greenbelt/Mt. Vernon Sq (no exit)","ESCALATOR"
"F03N11ESCALATOR","F03","L'ENFANT PLAZA","7th St/Maryland Ave./Smithsonian Museums Entrance/VRE trains","Escalator between mezzanine and end of platform to Greenbelt/Mt. Vernon Sq (no exit)","ESCALATOR"
"F03N12ESCALATOR","F03","L'ENFANT PLAZA","7th St/Maryland Ave./Smithsonian Museums Entrance/VRE trains","Escalator between mezzanine and end of platform to Branch Ave/Huntington (no exit)","ESCALATOR"
"F03N13ESCALATOR","F03","L'ENFANT PLAZA","7th St/Maryland Ave./Smithsonian Museums Entrance/VRE trains","Escalator between mezzanine and end of platform to Branch Ave/Huntington (no exit)","ESCALATOR"
"D03W05ESCALATOR","D03","L'ENFANT PLAZA","9th & D St  (L'Enfant Plaza Entrance)","Escalator between mezzanine and lower platform for Blue/Orange Line (escalator closer to station entrance)","ESCALATOR"
"G05X01ESCALATOR","G05","LARGO TOWN CENTER","","Escalator between street and mezzanine","ESCALATOR"
"G05X02ESCALATOR","G05","LARGO TOWN CENTER","","Escalator between mezzanine and platform","ESCALATOR"
"G05X03ESCALATOR","G05","LARGO TOWN CENTER","","Escalator between mezzanine and platform","ESCALATOR"
"G05X04ESCALATOR","G05","LARGO TOWN CENTER","","Escalator between mezzanine and platform","ESCALATOR"
"C02E04ESCALATOR","C02","MCPHERSON SQUARE","Franklin Square/14th St. Entrance","Escalator between mezzanine and platform to New Carrollton/Largo Town Center","ESCALATOR"
"C02E05ESCALATOR","C02","MCPHERSON SQUARE","Franklin Square/14th St. Entrance","Escalator between mezzanine and platform to New Carrollton/Largo Town Center","ESCALATOR"
"C02E06ESCALATOR","C02","MCPHERSON SQUARE","Franklin Square/14th St. Entrance","Escalator between mezzanine and platform to Vienna/Franconia-Springfield","ESCALATOR"
"C02W05ESCALATOR","C02","MCPHERSON SQUARE","Vermont Ave./Veterans Administration Entrance","Escalator between mezzanine and platform to Vienna/Franconia-Springfield","ESCALATOR"
"C02W06ESCALATOR","C02","MCPHERSON SQUARE","Vermont Ave./Veterans Administration Entrance","Escalator between mezzanine and platform to New Carrollton/Largo Town Center","ESCALATOR"
"A10X04ESCALATOR","A10","MEDICAL CENTER","","Escalator between mezzanine and platform","ESCALATOR"
"A10X05ESCALATOR","A10","MEDICAL CENTER","","Escalator between mezzanine and platform","ESCALATOR"
"C01S04ESCALATOR","C01","METRO CENTER","F and 12th St Entrance","Escalator between upper platform and lower platform to Blue/Orange Lines","ESCALATOR"
"C01S05ESCALATOR","C01","METRO CENTER","F and 12th St Entrance","Escalator between upper platform and lower platform to Blue/Orange Lines","ESCALATOR"
"A01E06ESCALATOR","A01","METRO CENTER","G and 11th St Entrance","Escalator between mezzanine and platform to Shady Grove","ESCALATOR"
"A01W07ESCALATOR","A01","METRO CENTER","G and 13th St Entrance","Escalator between mezzanine and platform to Glenmont","ESCALATOR"
"G04X02ESCALATOR","G04","MORGAN BLVD","","Escalator between mezzanine and platform","ESCALATOR"
"G04X03ESCALATOR","G04","MORGAN BLVD","","Escalator between mezzanine and platform","ESCALATOR"
"E01X07ESCALATOR","E01","MT. VERNON SQUARE/7TH STREET-CONVENTION CENTER","","Escalator between mezzanine and platform","ESCALATOR"
"C07E14ESCALATOR","C07","PENTAGON","","Escalator between the lower bus platform and the upper platform","ESCALATOR"
"C07E15ESCALATOR","C07","PENTAGON","","Escalator between the lower bus platform and the upper platform","ESCALATOR"
"C07N04ESCALATOR","C07","PENTAGON","","Escalator at north end of bus bay (closer to the Potomac River)","ESCALATOR"
"C07N05ESCALATOR","C07","PENTAGON","","Escalator at north end of bus bay (closer to the Potomac River)","ESCALATOR"
"C07N10ESCALATOR","C07","PENTAGON","","Escalator between upper and lower platforms","ESCALATOR"
"C07N11ESCALATOR","C07","PENTAGON","","Escalator between upper and lower platforms","ESCALATOR"
"C08X03ESCALATOR","C08","PENTAGON CITY","","Escalator between street and mezzanine on east side of Hayes street, at Pentagon Centre","ESCALATOR"
"C08X06ESCALATOR","C08","PENTAGON CITY","","Escalator between mezzanine and platform to Huntington/Franconia-Springfield","ESCALATOR"
"C08X07ESCALATOR","C08","PENTAGON CITY","","Escalator between mezzanine and platform to Huntington/Franconia-Springfield","ESCALATOR"
"C08X08ESCALATOR","C08","PENTAGON CITY","","Escalator between mezzanine and platform to Mt. Vernon Sq/Largo Town Center","ESCALATOR"
"C08X09ESCALATOR","C08","PENTAGON CITY","","Escalator between mezzanine and platform to Mt. Vernon Sq/Largo Town Center","ESCALATOR"
"C08X10ESCALATOR","C08","PENTAGON CITY","","Escalator between mezzanine and platform to Mt. Vernon Sq/Largo Town Center","ESCALATOR"
"B04X03ESCALATOR","B04","RHODE ISLAND AVENUE","","Escalator between mezzanine and platform","ESCALATOR"
"C10N02ESCALATOR","C10","RONALD REAGAN WASHINGTON NATIONAL AIRPORT","North Entrance","Escalator between mezzanine and platform to Mt.Vernon Sq/Largo Town Center","ESCALATOR"
"C10N03ESCALATOR","C10","RONALD REAGAN WASHINGTON NATIONAL AIRPORT","North Entrance","Escalator between mezzanine and platform to Huntington/Franconia-Springfield","ESCALATOR"
"C10S04ESCALATOR","C10","RONALD REAGAN WASHINGTON NATIONAL AIRPORT","South Entrance","Escalator between mezzanine and platform to Mt.Vernon Sq/Largo Town Center","ESCALATOR"
"C05X02ESCALATOR","C05","ROSSLYN","","Escalator between mezzanine and upper platform","ESCALATOR"
"C05X05ESCALATOR","C05","ROSSLYN","","Escalator between upper platform and lower platform","ESCALATOR"
"C05X08ESCALATOR","C05","ROSSLYN","","Escalator between upper platform and lower platform","ESCALATOR"
"C05X09ESCALATOR","C05","ROSSLYN","","Escalator between skywalk and mezzanine","ESCALATOR"
"C05X10ESCALATOR","C05","ROSSLYN","","Escalator between skywalk and mezzanine","ESCALATOR"
"E02N03ESCALATOR","E02","SHAW-HOWARD U","7th and S St. N.W. Entrance","Escalator between mezzanine and platform","ESCALATOR"
"D02S04ESCALATOR","D02","SMITHSONIAN","Independence Avenue Entrance","Escalator between mezzanine and platform to New Carrolton/Largo Town Center","ESCALATOR"
"D02S06ESCALATOR","D02","SMITHSONIAN","Independence Avenue Entrance","Escalator between mezzanine and platform to Vienna/Franconia-Springfield","ESCALATOR"
"D02N05ESCALATOR","D02","SMITHSONIAN","The Mall Entrance","Escalator between mezzanine and platform to Vienna/Franconia-Springfield","ESCALATOR"
"D02N06ESCALATOR","D02","SMITHSONIAN","The Mall Entrance","Escalator between mezzanine and platform to New Carrolton/Largo Town Center","ESCALATOR"
"F08X01ESCALATOR","F08","SOUTHERN AVENUE","","Escalator between mezzanine and garage","ESCALATOR"
"F08X03ESCALATOR","F08","SOUTHERN AVENUE","","Escalator between mezzanine and platform","ESCALATOR"
"D08S04ESCALATOR","D08","STADIUM-ARMORY","D.C. General Hospital Entrance","Escalator between mezzanine and platform","ESCALATOR"
"D08N04ESCALATOR","D08","STADIUM-ARMORY","Stadium and Armory Entrance","Escalator between mezzanine and platform","ESCALATOR"
"D08N06ESCALATOR","D08","STADIUM-ARMORY","Stadium and Armory Entrance","Escalator between mezzanine and platform","ESCALATOR"
"F10X04ESCALATOR","F10","SUITLAND","","Escalator between mezzanine and platform","ESCALATOR"
"B07X01ESCALATOR","B07","TAKOMA","","Escalator between mezzanine and platform","ESCALATOR"
"B07X03ESCALATOR","B07","TAKOMA","","Escalator between mezzanine and platform","ESCALATOR"
"A07X09ESCALATOR","A07","TENLEYTOWN-AU","","Escalator between mezzanine and platform","ESCALATOR"
"A13X01ESCALATOR","A13","TWINBROOK","","Escalator between mezzanine and platform","ESCALATOR"
"A06X01ESCALATOR","A06","VAN NESS-UDC","","Escalator between street and middle landing at on east side of Connecticut Ave. at Giant and CVS","ESCALATOR"
"A06X03ESCALATOR","A06","VAN NESS-UDC","","Escalator between street and middle landing on west side of Connecticut Ave. at UDC","ESCALATOR"
"A06X07ESCALATOR","A06","VAN NESS-UDC","","Escalator between mezzanine and platform","ESCALATOR"
"K08X01ESCALATOR","K08","VIENNA/FAIRFAX-GMU","","Escalator between mezzanine and platform","ESCALATOR"
"K08X02ESCALATOR","K08","VIENNA/FAIRFAX-GMU","","Escalator between mezzanine and platform","ESCALATOR"
